submission_id,question_id,male,white,answer
94602,1,0,1,1
94602,5,1,0,0
94602,2,1,0,1
94602,11,0,1,0
94602,24,1,0,0
94602,14,0,0,0
94602,20,0,1,0
94602,12,1,1,0
94602,19,1,1,0
94602,26,0,0,0
94602,8,0,0,0
94602,16,0,1,0
94602,18,0,0,0
94602,17,1,0,0
94602,25,0,1,0
94602,13,1,1,0
94602,15,1,0,0
94602,21,1,0,0
94602,10,0,1,1
94602,9,1,1,1
94602,23,1,1,0
94602,22,1,0,1
94602,27,0,1,0
94603,2,0,0,1
94603,1,0,0,1
94603,7,0,1,0
94603,3,1,0,0
94603,6,0,0,0
94603,4,1,1,0
94603,5,0,1,1
94603,16,0,1,0
94603,14,1,0,0
94603,8,1,0,1
94603,23,0,1,0
94604,1,0,0,1
94604,7,0,0,0
94604,3,0,1,0
94604,6,1,0,0
94604,5,0,0,0
94604,2,0,1,1
94604,4,1,0,0
94604,23,1,0,0
94604,17,0,1,0
94604,18,1,0,0
94604,8,1,1,0
94604,24,0,0,0
94604,12,1,0,0
94604,27,1,0,0
94604,19,0,0,0
94604,22,0,1,0
94604,9,1,1,1
94604,13,1,1,0
94604,14,0,1,0
94604,25,1,0,0
94604,20,0,0,0
94604,15,1,1,0
94604,11,1,0,0
94604,16,0,1,0
94604,26,0,1,0
94604,10,1,0,0
94604,21,0,0,0
94605,5,1,0,0
94605,1,1,1,1
94605,7,0,1,0
94605,4,0,1,0
94605,6,1,1,0
94605,2,0,0,1
94605,3,1,1,0
94605,13,1,1,0
94605,9,1,0,1
94605,8,0,1,0
94605,24,1,0,0
94605,16,1,0,0
94605,10,1,1,0
94605,14,0,1,0
94605,19,1,0,0
94605,17,0,1,0
94605,21,1,0,0
94605,12,1,0,0
94605,15,0,0,0
94605,11,0,0,0
94605,27,0,0,0
94605,26,0,0,0
94605,20,0,0,0
94605,23,1,1,0
94605,25,0,1,0
94605,18,0,1,0
94605,22,0,0,0
94606,1,1,0,1
94606,3,1,1,0
94606,6,1,0,0
94606,5,1,0,0
94606,4,0,0,0
94606,7,1,1,0
94606,2,0,1,1
94606,12,0,1,0
94606,15,1,0,0
94606,18,1,0,0
94606,22,1,1,0
94606,17,0,1,0
94606,10,0,1,0
94606,13,1,1,0
94606,23,1,0,0
94606,21,1,0,0
94606,19,0,1,0
94606,25,1,1,0
94606,20,0,0,0
94606,24,1,0,0
94606,9,0,0,1
94606,16,1,1,0
94606,27,0,0,0
94606,14,0,0,0
94606,8,1,1,1
94606,26,1,1,0
94606,11,0,1,0
94607,6,1,0,0
94607,2,1,0,0
94607,1,1,0,1
94607,7,0,0,0
94607,4,0,1,0
94607,3,1,1,0
94607,5,1,1,0
94607,10,0,0,0
94607,20,1,0,0
94607,22,0,0,0
94607,16,0,1,0
94607,12,1,0,0
94607,9,0,0,0
94607,26,1,1,0
94607,25,1,1,0
94607,11,1,1,0
94607,14,0,1,0
94607,24,0,0,0
94607,23,1,1,0
94607,27,0,1,0
94607,17,1,0,0
94607,21,0,0,0
94607,8,0,1,0
94607,15,0,1,0
94607,18,0,1,0
94607,19,1,0,0
94607,13,1,1,0
94608,7,1,0,0
94608,5,1,1,1
94608,4,0,1,0
94608,6,0,1,0
94608,2,1,0,0
94608,3,1,1,0
94608,1,0,0,1
94608,24,0,0,0
94609,4,1,0,0
94609,3,1,1,0
94609,6,1,1,0
94609,2,0,0,1
94609,7,0,0,0
94609,1,0,1,1
94609,5,1,1,0
94609,14,1,0,0
94609,22,0,1,0
94609,9,1,0,1
94609,24,0,1,0
94609,17,1,1,0
94609,19,0,1,0
94609,27,1,0,0
94609,25,0,0,0
94609,12,1,1,0
94609,18,1,1,0
94609,11,1,1,0
94609,13,1,1,0
94609,15,0,1,0
94609,21,0,0,0
94609,23,1,0,0
94609,20,0,1,0
94609,10,1,0,1
94609,26,0,0,0
94609,8,0,0,1
94609,16,1,0,1
94610,5,1,1,0
94610,7,0,1,0
94610,4,0,0,0
94610,2,1,1,0
94610,1,1,0,1
94610,6,0,0,0
94610,3,0,1,0
94610,23,0,0,0
94610,9,0,0,0
94610,25,0,0,0
94610,13,1,1,0
94610,10,0,1,0
94610,17,1,1,0
94610,19,0,1,0
94610,22,0,1,0
94610,20,0,0,0
94610,26,1,0,0
94610,11,0,0,0
94610,12,1,1,0
94610,24,0,1,0
94610,14,1,0,0
94610,21,1,1,0
94610,15,0,1,0
94610,8,1,1,0
94610,16,1,1,0
94610,27,1,0,0
94610,18,1,0,0
94611,5,1,0,1
94611,7,0,0,1
94611,6,0,1,0
94611,3,0,0,0
94611,2,0,1,1
94611,4,0,0,0
94611,1,1,0,1
94611,9,1,0,1
94611,10,0,0,0
94611,22,0,0,0
94611,18,1,1,1
94611,11,0,0,0
94611,16,1,1,1
94611,19,0,1,1
94611,20,1,1,0
94611,25,0,1,0
94611,26,1,0,1
94611,15,0,1,1
94611,12,1,1,0
94611,24,0,1,0
94611,8,1,1,1
94611,21,1,0,1
94611,17,0,0,0
94611,23,1,1,0
94611,14,1,1,0
94611,27,1,0,1
94611,13,0,0,0
94612,2,0,0,1
94612,5,1,1,0
94612,6,0,1,0
94612,7,1,1,0
94612,1,0,1,1
94612,3,1,1,0
94612,4,1,0,0
94612,19,0,0,0
94612,22,0,1,0
94612,13,1,1,0
94612,16,1,0,0
94612,14,0,0,0
94612,8,1,0,0
94612,24,0,0,0
94612,23,0,0,0
94612,9,0,1,1
94612,21,1,0,0
94612,11,1,1,0
94612,27,0,1,0
94612,20,1,0,0
94612,12,0,0,0
94612,26,0,0,0
94612,15,0,1,0
94612,25,1,0,0
94612,17,0,1,0
94612,18,0,1,0
94612,10,1,1,0
94613,1,0,1,1
94613,3,0,0,1
94613,5,1,1,0
94613,2,0,0,1
